,phrase,label,sentiment,subjectivity,language,count
Jan Zimmermann,Jan Zimmermann,PER,-0.2999001996007986,0.03992015968063875,de,33.39999999999998
Manuel Hagel,Manuel Hagel,PER,0.442307692307692,0.0,de,2.6000000000000014
Tim Lehmann,Tim Lehmann,PER,0.0,0.0,de,1.9
Jonas Piontek,Jonas Piontek,PER,0.0,0.0,de,1.9
David Barkay,David Barkay,PER,0.0,0.0,de,1.9
CDU-Kandidat Hagel,CDU-Kandidat Hagel,PER,1.8181818181818181,0.0,de,1.1
CDU-Chef Hagel,CDU-Chef Hagel,PER,0.0,0.0,de,1.1
Markus Söder,Markus Söder,PER,0.0,0.9090909090909091,de,1.1
CDU-Landeschef Hagel,CDU-Landeschef Hagel,PER,0.0,0.0,de,1.0
Josef Mündler,Josef Mündler,PER,0.0,0.0,de,1.0
dm-Chef Christoph Werner,dm-Chef Christoph Werner,PER,0.0,0.0,de,1.0
Zusammenstöße von Wassertröpfchen,Zusammenstöße von Wassertröpfchen,PER,1.0,0.0,de,1.0
YouTuber Zimmermann,YouTuber Zimmermann,PER,-1.0,0.0,de,1.0
Jan Zimmermann Medienberichten,Jan Zimmermann Medienberichten,PER,0.0,0.0,de,1.0
Johannes Plenio,Johannes Plenio,PER,0.0,0.0,de,1.0
Cem Özdemir,Cem Özdemir,PER,0.0,0.0,de,1.0
Aaron Burden,Aaron Burden,PER,0.0,0.0,de,1.0
CSU-Chef Markus Söder,CSU-Chef Markus Söder,PER,0.0,0.0,de,1.0
Michael Stu,Michael Stu,PER,0.0,1.0,de,1.0
Sturmtief Joshua,Sturmtief Joshua,PER,0.7,0.0,de,1.0
Karsten Brandt,Karsten Brandt,PER,0.0,0.0,de,1.0
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,0.7,0.0,de,1.0
everybodys darling,everybodys darling,PER,0.0,0.0,de,1.0
