index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
099496dd60d6137c35350efc7b51f88b,2026-08-01T09:35:17Z,'+Hagel -CDU',www.zeit.de,de,0.8,Wettervorhersage: Heiterer Sonntag - ab Montag drohen Starkregen und Hagel,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Heiterer Sonntag - ab Montag drohen Starkregen und Hagel“.,https://www.zeit.de/news/2026-08/01/heiterer-sonntag-ab-montag-drohen-starkregen-und-hagel,https://img.zeit.de/news/2026-08/01/heiterer-sonntag-ab-montag-drohen-starkregen-und-hagel-image-group/wide__1300x731,http://web.archive.org/web/20260801122901/https://www.zeit.de/news/2026-08/01/heiterer-sonntag-ab-montag-drohen-starkregen-und-hagel,"In den kommenden Tagen erwartet Rheinland-Pfalz und das Saarland ein Mix aus Wolken, Hitze und Gewittern. Der Samstag zeigt sich im Südosten anfangs noch stark bewölkt, vereinzelt kann es nach Angabe… [+838 chars]",,Wettervorhersage: Heiterer Sonntag - ab Montag drohen Starkregen und Hagel. Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Heiterer Sonntag - ab Montag drohen Starkregen und Hagel“.,Weather forecast: Bright Sunday - there is a risk of heavy rain and hail from Monday. Here you will find information on the subject of “weather forecast”. Now read “Happy Sunday - there is a risk of heavy rain and hail from Monday”.,"Tempestas praenuntietur: Solis Solis - periculum est pluviae et grandinis a Lunae. Hic invenies informationes de re ""tempestatis praenuntientur"". Nunc lege ""Dominica felix - periculum est pluviae et grandinis a Lunae"".",2026-08-03 01:45:05+00:00
0e3b4aca1e386983f65ff2b98b4ff9ac,2026-08-01T08:02:26Z,'Gewitter',www.zeit.de,de,0.9,Aussichten: Auf einzelne Gewitter folgt Sonne in Hessen,Hier finden Sie Informationen zu dem Thema „Aussichten“. Lesen Sie jetzt „Auf einzelne Gewitter folgt Sonne in Hessen“.,https://www.zeit.de/news/2026-08/01/auf-einzelne-gewitter-folgt-sonne-in-hessen,https://img.zeit.de/news/2026-08/01/auf-einzelne-gewitter-folgt-sonne-in-hessen-image-group/wide__1300x731,,"Nachdem es bis Samstagmittag noch teils heftige Gewitter geben kann, kehrt in Hessen ruhiges Hochdruckwetter ein. Laut dem Deutschen Wetterdienst kann es am Samstag vor allem im Süden und Osten noch … [+851 chars]",,Aussichten: Auf einzelne Gewitter folgt Sonne in Hessen. Hier finden Sie Informationen zu dem Thema „Aussichten“. Lesen Sie jetzt „Auf einzelne Gewitter folgt Sonne in Hessen“.,Outlook: Individual thunderstorms will be followed by sunshine in Hesse. Here you will find information on the topic of “Prospects”. Now read “Individual thunderstorms are followed by sunshine in Hesse”.,"Outlook: Singula tonitrua in Hassia sole sequentur. Hic informationes invenies in argumento ""Prospectorum"". Nunc legitur ""Singula tonitribus sole in Hassia sequuntur"".",2026-08-03 01:45:05+00:00
04756f4b6474ad07acad22611737a6c2,2026-08-02T09:01:42Z,'+Hagel -CDU',www.zeit.de,de,0.9,Wettervorhersage: Gewitter und bis zu 37 Grad im Südwesten erwartet,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Gewitter und bis zu 37 Grad im Südwesten erwartet“.,https://www.zeit.de/news/2026-08/02/gewitter-und-bis-zu-37-grad-im-suedwesten-erwartet,https://img.zeit.de/news/2026-08/02/gewitter-und-bis-zu-37-grad-im-suedwesten-erwartet-image-group/wide__1300x731,http://web.archive.org/web/20260802100740/https://www.zeit.de/news/2026-08/02/gewitter-und-bis-zu-37-grad-im-suedwesten-erwartet,Die Menschen in Rheinland-Pfalz und im Saarland müssen sich auf große Hitze und Unwetter in den nächsten Tagen einstellen. Am Montag steigen die Höchsttemperaturen nach Angaben des Deutschen Wetterdi… [+608 chars],,Wettervorhersage: Gewitter und bis zu 37 Grad im Südwesten erwartet. Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Gewitter und bis zu 37 Grad im Südwesten erwartet“.,Weather forecast: Thunderstorms and up to 37 degrees expected in the southwest. Here you will find information on the subject of “weather forecast”. Now read “Thunderstorms and up to 37 degrees expected in the southwest”.,"Tempestas praenuntietur: Procellae et usque ad 37 gradus in Africo exspectantur. Hic invenies informationes de re ""tempestatis praenuntientur"". Nunc lege ""procellae et usque ad 37 gradus expectati in Africo"".",2026-08-03 12:48:52+00:00
aa6dbfec9b7014f09073b79dc0cc26ee,2026-08-02T18:27:04Z,'Gewitterzelle',tirol.orf.at,de,0.9,Gewitterzelle mit Muren und Überflutung,Eine massive Gewitterzelle ist Sonntagabend über Tirol gezogen. Besonders betroffen war der Raum Kufstein. In Kundl mussten einige Personen von der Feuerwehr befreit werden. In Jenbach wurde die Kasbachstraße verlegt.,https://tirol.orf.at/stories/3365304/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F32%2F66%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3135669_master_1215466_kundl_wasser.jpg%3Fs%3D94deddac640949a6e410cbba248f68b5524c5eda,http://web.archive.org/web/20260802210750/https://tirol.orf.at/stories/3365304/,"In der Kundler Klamm waren neun Menschen wegen einer Mure vorübergehend in einem Gasthaus eingeschlossen. Sie waren laut Elmar Rizzoli, Krisenmanager des Landes Tirol, zu keiner Zeit in Gefahr. Sechs… [+1142 chars]",,Gewitterzelle mit Muren und Überflutung. Eine massive Gewitterzelle ist Sonntagabend über Tirol gezogen. Besonders betroffen war der Raum Kufstein. In Kundl mussten einige Personen von der Feuerwehr befreit werden. In Jenbach wurde die Kasbachstraße verlegt.,"Thunderstorm cell with mudslides and flooding. A massive thunderstorm cell passed over Tyrol on Sunday evening. The Kufstein area was particularly affected. In Kundl, some people had to be rescued by the fire department. Kasbachstrasse was relocated in Jenbach.","Procellae tonitrui cum mudslides et inundationes. Ingens tonitribus cellae Tirolis die dominico vesperi transierunt. Regio Kufstein praecipue afficiebatur. In Kundl, quidam homines ab igne department eripi. Kasbachstrasse in Jenbach collocaverunt.",2026-08-04 21:01:39+00:00
6e5a2656823567b1fadb45077b8ee20f,2026-08-04T10:27:00Z,'Gewitterzelle',www.focus.de,de,0.9,Dorf in Thüringen nach Gewitterzelle verwüstet – rund Dutzend Gänse tot,Ein heftiges Unwetter hat am Montagnachmittag im thüringischen Thangelstedt gewütet. Aufnahmen der Agentur NonstopNews zeigen den verwüsteten Ortsteil Blankenhain.,https://www.focus.de/panorama/dorf-in-thueringen-nach-gewitterzelle-verwuestet-rund-dutzend-gaense-tot_07be88d5-4f99-4124-aa39-5300964a0a31.html,"https://quadro.burda-forward.de/ctf/9d416886-1f1c-411d-b395-c3b414c85818.5ec71977-0ec5-430d-a1e7-c2118ab829fa.jpeg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(418,281)&hash=9896e6c9758ef12b7c953f3ea6894f5405166caa208ebe41ecf86c6cbce5c564",,"Dorfbewohner Andreas Dambach ist fassungslos. Das ging innerhalb von fünf Minuten. Da kam ein Sturm und Hagel. Und plötzlich, wir haben aus dem Fenster geschaut, war bei uns im Hof eine Windhose. Die… [+530 chars]",,Dorf in Thüringen nach Gewitterzelle verwüstet – rund Dutzend Gänse tot. Ein heftiges Unwetter hat am Montagnachmittag im thüringischen Thangelstedt gewütet. Aufnahmen der Agentur NonstopNews zeigen den verwüsteten Ortsteil Blankenhain.,"Village in Thuringia devastated after thunderstorm cell - around a dozen geese dead. A violent storm raged in Thangelstedt, Thuringia, on Monday afternoon. Footage from the NonstopNews agency shows the devastated district of Blankenhain.","Villa in Thuringia devastata est post cellam tonitrui - circa duodecim anseres mortuos. Tempestas violenta in Thangelstedt, Thuringia, die Lune pomeridiana desaevit. Footage ex procuratione NonstopNews vastatam regionem Blankenhain ostendit.",2026-08-05 16:26:29+00:00
9ec125d1db47749fd144b0c8da456554,2026-08-03T20:55:08Z,'Gewitter',www.bild.de,de,0.8,Hagel und Sturm fegen über den Südwesten - Straßen plötzlich weiß wie im Winter,"Heftige Unwetter trafen Baden-Württemberg und Rheinland-Pfalz. Hagel und Sturm sorgten für Verwüstung, Straßensperrungen und zahlreiche Einsätze.",https://www.bild.de/news/inland/hagelstuerme-bringen-im-suedwesten-chaos-und-zerstoerung-6a70eda8cc46967c04cade07,"https://images.bild.de/6a70eda8cc46967c04cade07/f7a2691087def6a59c4248a745879bd6,b70eac44?w=1280",,"TTS-Player überspringenArtikel weiterlesenHunsrück (Rheinland-Pfalz) Erst 36 Grad, dann Hagelberge auf den Straßen: Schwere Stürme haben Teile Deutschlands innerhalb von Minuten verwüstet. Die Unwett… [+2280 chars]",,"Hagel und Sturm fegen über den Südwesten - Straßen plötzlich weiß wie im Winter. Heftige Unwetter trafen Baden-Württemberg und Rheinland-Pfalz. Hagel und Sturm sorgten für Verwüstung, Straßensperrungen und zahlreiche Einsätze.","Hail and storms sweep across the southwest - streets suddenly white as in winter. Severe storms hit Baden-Württemberg and Rhineland-Palatinate. Hail and storms caused devastation, road closures and numerous deployments.","Grando et procellae per Africum verrunt - plateae subito albae sicut per hiemem. Proeellae graves Baden-Württembergam et Rheno-Palatinatum feriunt. Grando et procellae devastatio, via commissuras et multae instruxit.",2026-08-06 07:32:12+00:00
9ed04f37c69223ae4fb79075eee80c60,2026-08-03T04:05:43Z,'Gewitter',www.zeit.de,de,0.9,Wetter: Heißer Wochenstart im Südwesten - doch hier drohen Gewitter,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Heißer Wochenstart im Südwesten - doch hier drohen Gewitter“.,https://www.zeit.de/news/2026-08/03/heisser-wochenstart-im-suedwesten-doch-hier-drohen-gewitter,https://img.zeit.de/news/2026-08/03/heisser-wochenstart-im-suedwesten-doch-hier-drohen-gewitter-image-group/wide__1300x731,http://web.archive.org/web/20260804045531/https://www.zeit.de/news/2026-08/03/heisser-wochenstart-im-suedwesten-doch-hier-drohen-gewitter,Die neue Woche startet in Baden-Württemberg erneut mit großer Hitze. Die hohen Temperaturen bringen laut Vorhersage des Deutschen Wetterdienstes (DWD) jedoch auch eine steigende Gewitter- und Unwette… [+1431 chars],,Wetter: Heißer Wochenstart im Südwesten - doch hier drohen Gewitter. Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Heißer Wochenstart im Südwesten - doch hier drohen Gewitter“.,Weather: Hot start to the week in the southwest - but there is a threat of thunderstorms here. Here you will find information on the topic of “weather”. Now read “Hot start to the week in the southwest - but there is a threat of thunderstorms here”.,"Tempestas: Initium hebdomadis in Africo calido - sed hic comminatio tonitribus est. Hic informationes invenies in argumento ""tempestatis"". Nunc lego ""Initium hebdomadis in meridiem calidum - sed hic comminatio tonitribus"".",2026-08-06 07:32:12+00:00
4706c3db05f8bbe158798ed036fb73b0,2026-08-03T04:39:47Z,'Gewitter',salzburg.orf.at,de,0.9,Unwetter: Obusse und Unterführungen überflutet,"In der Stadt Salzburg haben heftige Gewitter in der Nacht für gut 80 Feuerwehreinsätze gesorgt. Besonders hart erwischte es die Salzburg Linien: Zahlreiche Obusse, die unterwegs waren, sind durch Wasser beschädigt worden.",https://salzburg.orf.at/stories/3365313/,https://ibs.orf.at/sbg?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F32%2F02%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3135778_master_1215502_img_4029.jpeg%3Fs%3Dd807986601e731214cdd83df73af996d21a91a4c,,"Die Einsatzkräfte mussten in der Nacht zahlreiche überflutete Keller auspumpen und umgestürzte Bäume von den Straßen entfernen. Auch mehrere Unterführungen standen unter Wasser, darunter etwa das Nel… [+826 chars]",,"Unwetter: Obusse und Unterführungen überflutet. In der Stadt Salzburg haben heftige Gewitter in der Nacht für gut 80 Feuerwehreinsätze gesorgt. Besonders hart erwischte es die Salzburg Linien: Zahlreiche Obusse, die unterwegs waren, sind durch Wasser beschädigt worden.","Storm: trolleybuses and underpasses flooded. In the city of Salzburg, violent thunderstorms caused around 80 fire brigade operations during the night. The Salzburg lines were hit particularly hard: numerous trolleybuses that were on the road were damaged by water.","Tempestas: trolleybuses et underpasses inundata. In urbe Salzburg, vehementia tonitribus circa LXXX ignium legio opera nocturnos effecit. Lineae Salzburgae maxime durae percussae sunt: ​​crebrae trolleybus quae in via erant aqua laesa sunt.",2026-08-06 07:32:12+00:00
bf612d85b1a6da8ce72f23831dd06f41,2026-08-03T04:55:15Z,'Gewitter',www.tagesspiegel.de,de,0.9,Amtliche Hitzewarnung für Berlin: „Extreme Wärmebelastung“ am Dienstag erwartet,"Hohe Temperaturen kommen auf die Hauptstadtregion zu. In den kommenden Tagen erwartet der Deutsche Wetterdienst Schauer, Gewitter und Temperaturen bis 35 Grad.",https://www.tagesspiegel.de/berlin/amtliche-hitzewarnung-fur-berlin-extreme-warmebelastung-am-dienstag-erwartet-15907825.html,https://www.tagesspiegel.de/images/15907824/alternates/BASE_16_9_W1400/1785733578000/wetter-berlin-und-brandenburg.jpeg,http://web.archive.org/web/20260804124701/https://www.tagesspiegel.de/berlin/amtliche-hitzewarnung-fur-berlin-extreme-warmebelastung-am-dienstag-erwartet-15907825.html,"Berlinerinnen und Berliner müssen sich am Dienstag erneut gegen Hitze wappnen. Wie per Warnapp Nina am Montagvormittag bekannt gegeben wurde, wird zwischen 11 und 19 Uhr eine extreme Wärmebelastung e… [+2605 chars]",,"Amtliche Hitzewarnung für Berlin: „Extreme Wärmebelastung“ am Dienstag erwartet. Hohe Temperaturen kommen auf die Hauptstadtregion zu. In den kommenden Tagen erwartet der Deutsche Wetterdienst Schauer, Gewitter und Temperaturen bis 35 Grad.","Official heat warning for Berlin: “Extreme heat stress” expected on Tuesday. High temperatures are coming to the capital region. In the coming days, the German Weather Service expects showers, thunderstorms and temperatures of up to 35 degrees.","Officialis caloris admonitio pro Berlin: ""Extremus accentus calor"" die Martis expectatur. Maximum temperaturas ad caput regionis veniunt. In diebus venientibus, Ministerium Tempestatis Germanicae exspectat imbres, procellas et temperaturas usque ad 35 gradus.",2026-08-06 07:32:12+00:00
5e0313fafcd46ab7d5907b27aedcb392,2026-08-03T04:55:15Z,'Gewitter',www.tagesspiegel.de,de,0.9,"Sommergewitter: Hitze, Regen und Unwettergefahr","Hohe Temperaturen kommen auf Berlin und Brandenburg zu. In den kommenden Tagen erwartet der Deutsche Wetterdienst Schauer, Gewitter und Temperaturen bis 35 Grad.",https://www.tagesspiegel.de/berlin/sommergewitter-hitze-regen-und-unwettergefahr-15907825.html,https://www.tagesspiegel.de/images/15907824/alternates/BASE_16_9_W1400/1785733578000/wetter-berlin-und-brandenburg.jpeg,,"Berlin/ Potsdam - Wechselhaftes Wetter bestimmt den Wochenstart in Berlin und Brandenburg. Der Deutsche Wetterdienst (DWD) erwartet einen Mix aus Sonne und Wolken, in Richtung Nordosten sind Unwetter… [+1868 chars]",,"Sommergewitter: Hitze, Regen und Unwettergefahr. Hohe Temperaturen kommen auf Berlin und Brandenburg zu. In den kommenden Tagen erwartet der Deutsche Wetterdienst Schauer, Gewitter und Temperaturen bis 35 Grad.","Summer thunderstorms: heat, rain and risk of severe weather. High temperatures are coming to Berlin and Brandenburg. In the coming days, the German Weather Service expects showers, thunderstorms and temperatures of up to 35 degrees.","Tonitruum aestas: calor, pluvia et periculum gravis tempestatis. Magnae temperaturae Berolinum et Brandenburgum veniunt. In diebus venientibus, Ministerium Tempestatis Germanicae exspectat imbres, procellas et temperaturas usque ad 35 gradus.",2026-08-06 07:32:12+00:00
